Date,deviceID,target,Change_Pts_per_day
0,2021-12-31,nm-mngd-20210518-221fcce5,Atlanta,1
1,2021-12-31,nm-mngd-20210518-221fcce5,Chicago,1
2,2021-12-31,nm-mngd-20210518-221fcce5,Seattle,1
3,2021-12-31,nm-mngd-20210518-f2242dfd,Atlanta,1
4,2021-12-31,nm-mngd-20210518-f2242dfd,Chicago,4
5,2021-12-31,nm-mngd-20210518-f2242dfd,Seattle,1
6,2021-12-31,nm-mngd-20210924-77f105f0,Atlanta,12
7,2021-12-31,nm-mngd-20210924-77f105f0,Chicago,14
8,2021-12-31,nm-mngd-20210924-77f105f0,Seattle,14
9,2021-12-31,nm-mngd-20210927-1aaa32b5,Atlanta,1
10,2021-12-31,nm-mngd-20210927-1aaa32b5,Chicago,5
11,2021-12-31,nm-mngd-20210927-1aaa32b5,Seattle,1
12,2021-12-31,nm-mngd-20210927-4a1de38c,Atlanta,1
13,2021-12-31,nm-mngd-20210927-4a1de38c,Chicago,5
14,2021-12-31,nm-mngd-20210927-4a1de38c,Seattle,1
15,2021-12-31,nm-mngd-20210927-9044c591,Atlanta,1
16,2021-12-31,nm-mngd-20210927-9044c591,Chicago,1
17,2021-12-31,nm-mngd-20210927-9044c591,Seattle,1
18,2022-01-01,nm-mngd-20210518-221fcce5,Atlanta,1
19,2022-01-01,nm-mngd-20210518-221fcce5,Chicago,1
20,2022-01-01,nm-mngd-20210518-221fcce5,Seattle,1
21,2022-01-01,nm-mngd-20210518-f2242dfd,Atlanta,1
22,2022-01-01,nm-mngd-20210518-f2242dfd,Chicago,9
23,2022-01-01,nm-mngd-20210518-f2242dfd,Seattle,1
24,2022-01-01,nm-mngd-20210924-77f105f0,Atlanta,53
25,2022-01-01,nm-mngd-20210924-77f105f0,Chicago,58
26,2022-01-01,nm-mngd-20210924-77f105f0,Seattle,52
27,2022-01-01,nm-mngd-20210927-1aaa32b5,Atlanta,15
28,2022-01-01,nm-mngd-20210927-1aaa32b5,Chicago,14
29,2022-01-01,nm-mngd-20210927-1aaa32b5,Seattle,6
30,2022-01-01,nm-mngd-20210927-4a1de38c,Atlanta,2
31,2022-01-01,nm-mngd-20210927-4a1de38c,Chicago,6
32,2022-01-01,nm-mngd-20210927-4a1de38c,Seattle,2
33,2022-01-01,nm-mngd-20210927-9044c591,Atlanta,2
34,2022-01-01,nm-mngd-20210927-9044c591,Chicago,18
35,2022-01-01,nm-mngd-20210927-9044c591,Seattle,3
36,2022-01-02,nm-mngd-20210518-221fcce5,Atlanta,1
37,2022-01-02,nm-mngd-20210518-221fcce5,Chicago,3
38,2022-01-02,nm-mngd-20210518-221fcce5,Seattle,1
39,2022-01-02,nm-mngd-20210518-f2242dfd,Atlanta,1
40,2022-01-02,nm-mngd-20210518-f2242dfd,Chicago,7
41,2022-01-02,nm-mngd-20210518-f2242dfd,Seattle,1
42,2022-01-02,nm-mngd-20210924-77f105f0,Atlanta,52
43,2022-01-02,nm-mngd-20210924-77f105f0,Chicago,54
44,2022-01-02,nm-mngd-20210924-77f105f0,Seattle,59
45,2022-01-02,nm-mngd-20210927-1aaa32b5,Atlanta,3
46,2022-01-02,nm-mngd-20210927-1aaa32b5,Chicago,10
47,2022-01-02,nm-mngd-20210927-1aaa32b5,Seattle,3
48,2022-01-02,nm-mngd-20210927-4a1de38c,Atlanta,2
49,2022-01-02,nm-mngd-20210927-4a1de38c,Chicago,3
