time,speedtest_ookla_download,speedtest_ookla_upload,speedtest_ndt7_download,speedtest_ookla_latency,speedtest_ndt7_downloadretrans,speedtest_ookla_jitter,speedtest_ookla_pktloss2,iperf_udp_download,speedtest_ndt7_minrtt,google_rtt_max_ms_under_ul,google_rtt_max_ms_under_dl,google_rtt_max_ms,dns_query_avg_ms,dns_query_max_ms,install
2021-06-30 18:50:28.262038+00:00,,,,,,,,,,,,12.468,25.5,51.0,Hyde Park
2021-06-30 18:55:27.575799+00:00,,,,,,,,,,,,13.335,20.5,51.0,Hyde Park
2021-06-30 19:00:28.483208+00:00,,,,,,,,,,,,11.679,29.0,47.0,Hyde Park
2021-06-30 19:05:28.049947+00:00,,,,,,,,,,,,8.411,17.5,27.0,Hyde Park
2021-06-30 19:10:26.905425+00:00,,,,,,,,,,,,8.029,30.0,47.0,Hyde Park
2021-06-30 19:15:29.359456+00:00,,,,,,,,,,,,13.232,21.5,51.0,Hyde Park
2021-06-30 19:20:28.859946+00:00,,,,,,,,,,,,12.203,24.0,51.0,Hyde Park
2021-06-30 19:25:33.892471+00:00,,,,,,,,,,,,11.668,25.0,63.0,Hyde Park
2021-06-30 19:30:28.138211+00:00,,,,,,,,,,,,12.79,19.0,43.0,Hyde Park
2021-06-30 19:35:28.187063+00:00,,,,,,,,,,,,11.793,34.5,55.0,Hyde Park
2021-06-30 19:40:27.975932+00:00,,,,,,,,,,,,9.056,24.5,51.0,Hyde Park
2021-06-30 19:45:28.050562+00:00,,,,,,,,,,,,12.094,23.5,51.0,Hyde Park
2021-06-30 19:50:28.904184+00:00,,,,,,,,,,,,18.098,20.5,43.0,Hyde Park
2021-06-30 19:55:31.437651+00:00,,,,,,,,,,,,12.484,28.0,43.0,Hyde Park
2021-06-30 20:00:28.956412+00:00,,,,,,,,,,,,10.991,20.5,51.0,Hyde Park
2021-06-30 20:05:28.600211+00:00,,,,,,,,,,,,12.672,21.5,51.0,Hyde Park
2021-06-30 20:10:28.494799+00:00,,,,,,,,,,,,11.464,24.0,51.0,Hyde Park
2021-06-30 20:14:01.991457+00:00,928.291016,41.659776,819.682471061905,8.369,0.0,1.235,0.0,,3.346,21.158,13.593,,,,Hyde Park
2021-06-30 20:15:28.686854+00:00,,,,,,,,,,,,11.215,34.0,67.0,Hyde Park
2021-06-30 20:20:29.484910+00:00,,,,,,,,,,,,11.169,21.5,51.0,Hyde Park
2021-06-30 20:25:32.685954+00:00,,,,,,,,,,,,9.888,35.5,115.0,Hyde Park
2021-06-30 20:30:29.239247+00:00,,,,,,,,,,,,9.413,21.0,55.0,Hyde Park
