,device_id,geoid10
0,e01c,170313501001010
1,40d7,170317402002002
2,05f0,170318398002014
3,98ab,170311403011000
4,1185,170310204002009
5,086d,170318413003001
7,f7da,170318367002015
9,de6b,170315204003005
10,5bfc,170315807003000
11,2316,170310317002001
12,32b5,170311404003003
13,ef46,170312207022013
14,4f71,170310622002015
16,78f4,170318390001000
17,925c,170318321002003
18,e38c,170312109001038
19,ff70,170313301004055
20,f35e,170314503002010
21,c7af,170312106023008
22,1f49,170310317001006
23,ff46,170311902004002
24,42ef,170310305004010
25,23bd,170310408002001
27,ebb9,170311702001001
28,96d3,170318439004000
29,7f45,170310811002000
30,a28a,170313201003011
31,dfb9,170310608001000
32,e5b4,170313018012014
33,71d4,170314601001005
34,361c,170316915001016
35,f852,170312406001004
36,e77e,170317005015008
37,4a29,170310317004004
38,be58,170312211001010
39,a8df,170312424001011
40,2682,170317504002026
41,1862,170314312001004
42,6ec5,170314302001001
43,cc37,170314312002021
44,14b8,170313206001008
45,5a32,170318321001005
46,df12,170314108002006
47,47bf,170312215002026
48,06b9,170314302002002
57,4573,170314302002002
49,65d1,170316119001020
50,4998,170314314001002
51,8da9,170314312001001
52,44dc,170318439003000
89,f507,170318439003000
53,08b6,170314306001012
54,f0c4,170314308002008
55,8cb2,170312205001001
56,72f4,170312106013005
58,b217,170314302004007
59,546b,170312210002004
60,1799,170314302003008
61,d54b,170318342001005
62,c0d4,170314308001009
63,60d3,170318347002003
64,3932,170312212002003
65,128d,170314302001002
66,2881,170316811002001
67,3db3,170318439004001
68,2afe,170312212002018
69,5a91,170314301023000
70,f51f,170312226001028
95,c38c,170312226001028
71,8b9f,170312209011008
72,c367,170312210002013
73,265f,170314302002000
74,c71c,170314314004001
75,e1bb,170314302001003
78,ace4,170314302001003
76,dfa4,170312211002005
77,6174,170314301014004
79,6b53,170312210001012
80,adcd,170318322003005
81,0819,170318439005004
82,5b68,170314313022014
83,c8bd,170312205002014
84,ce31,170312225001011
85,ba43,170312213002010
86,6bf1,170312205002016
87,1dc2,170312225001015
88,9041,170312205002008
90,cfed,170318323001087
91,4c9a,170312213001011
92,6753,170318324001008
93,1347,170312216002000
94,a69b,170312216001023
96,3ac0,170312212002009
97,71c4,170318309002016
98,a3d5,170312211001016
99,0b6f,170312206011003
100,4a4d,170312206012001
101,d30d,170314108002001
